Site,primer.pair,efficiency.SK1,efficiency.W303,efficiency.pombe
CEN4_SK1,8172+8173,2.098,,
ARM4_SK1,8175+8176,1.881,,
CEN3,8196+8197,2.05,,
ARM3,8198+8199,1.92,,
ARM12,8204+8205,1.994,,
CEN12,8206+8207,1.89,,
ARM13,8210+8211,2,1.98,
CEN13,8214+8215,2,2,
CEN1_LEFT,8242+8243,1.94,,
periCEN4_1,8422+8423,,1.89,
periCEN4_2,8424+8425,,1.96,
periCEN4_3,8601+8602,1.92,2.228,
periCEN4_4,8599+8600,1.92,2.02,
cen1,9276+9277,,,1.93
cen2,9282+9285,,,1.8
imr,9017+9019,,,1.97
dg,9015+8016,,,1.97
act1,9286+9287,,,1.75
rDNA,9556+9557,,,1.89
